p,c,pFWEcorr,pFDRcorr,equivk,punc,pFWEcorr1,pFDRcorr1,T,equivZ,punc1,x,y,zmm,xtal,ytal,ztal
0,7,0,0,1281,0,0,0,30.14,Inf,0,-4,-58,18,-5.0739,-57.3481,14.9736
NaN,NaN,0,0,1211,0,0,0,8.17,7.55,0,0,50,-8,-0.8063,45.5101,1.3684
NaN,NaN,NaN,NaN,NaN,NaN,0,0,8.04,7.44,0,-6,58,8,-6.5283,51.5981,16.262
NaN,NaN,NaN,NaN,NaN,NaN,0,0,7.69,7.16,0,-8,54,0,-8.2943,48.5781,8.7392
NaN,NaN,0,0,113,0,0,0,7.71,7.18,0,0,12,-8,-0.8975,10.1093,-1.987
NaN,NaN,0,0.042,9,0.03,0,0.063,6.12,5.84,0,44,0,-6,39.7677,-1.4553,-0.593
NaN,NaN,0,0.042,9,0.03,0.001,0.094,6.01,5.74,0,-58,2,-22,-54.4295,2.2911,-16.2452
NaN,NaN,0.001,0.151,4,0.13,0.005,0.556,5.61,5.38,0,-34,14,-28,-32.1203,13.8777,-20.1752
NaN,NaN,0.004,0.444,1,0.444,0.008,0.803,5.51,5.3,0,12,-2,-18,10.2917,-2.1197,-11.9648
